Date,Close,Volumen
05/09/2014,2.73,6848
08/09/2014,2.68,15017
09/09/2014,2.68,24396
10/09/2014,2.68,30043
11/09/2014,2.68,4204
12/09/2014,2.68,5516
15/09/2014,2.72,4000
16/09/2014,2.7,4935
17/09/2014,2.69,11413
18/09/2014,2.69,2700
19/09/2014,2.69,8000
22/09/2014,2.67,4020
23/09/2014,2.52,24548
24/09/2014,2.58,21864
25/09/2014,2.57,10000
26/09/2014,2.57,104153
29/09/2014,2.58,13490
30/09/2014,2.58,24268
01/10/2014,2.59,13658
02/10/2014,2.6,9827
03/10/2014,2.62,35094
06/10/2014,2.62,9000
07/10/2014,2.62,16613
09/10/2014,2.62,1600
10/10/2014,2.6,10517
13/10/2014,2.6,22132
14/10/2014,2.6,2504
15/10/2014,2.6,13537
16/10/2014,2.55,24291
17/10/2014,2.52,4587
20/10/2014,2.47,5117
21/10/2014,2.52,10759
22/10/2014,2.52,2207
23/10/2014,2.52,8111
24/10/2014,2.5,4560
27/10/2014,2.5,7241
28/10/2014,2.5,5379
29/10/2014,2.5,14604
30/10/2014,2.51,6355
31/10/2014,2.6,6848
03/11/2014,2.65,12899
04/11/2014,2.7,8414
05/11/2014,2.75,9028
06/11/2014,2.76,9688
07/11/2014,2.8,152186
10/11/2014,2.8,4062
11/11/2014,2.83,15549
12/11/2014,2.83,10316
13/11/2014,2.85,1798
14/11/2014,2.85,8946
17/11/2014,2.85,3644
18/11/2014,2.85,2038
19/11/2014,2.8,239105
20/11/2014,2.8,10800
21/11/2014,2.8,2040
24/11/2014,2.72,23176
25/11/2014,2.71,21620
26/11/2014,2.7,9211
27/11/2014,2.63,15083
28/11/2014,2.64,7406
01/12/2014,2.64,2115
02/12/2014,2.64,1806
03/12/2014,2.65,5422
04/12/2014,2.64,37053
05/12/2014,2.64,1734
09/12/2014,2.65,2040
10/12/2014,2.65,4601
11/12/2014,2.65,2856
12/12/2014,2.64,3022
15/12/2014,2.64,1968
16/12/2014,2.62,5000
17/12/2014,2.61,17200
18/12/2014,2.55,7000
19/12/2014,2.52,5779
22/12/2014,2.52,1730
23/12/2014,2.5,24050
24/12/2014,2.5,2020
26/12/2014,2.55,2737
29/12/2014,2.65,9551
30/12/2014,2.65,3458
31/12/2014,2.67,3558
05/01/2015,2.57,39562
06/01/2015,2.56,4886
07/01/2015,2.55,110050
08/01/2015,2.51,7647
09/01/2015,2.53,1737
12/01/2015,2.53,9503
13/01/2015,2.5,50282
14/01/2015,2.45,20250
15/01/2015,2.5,4377
16/01/2015,2.5,21000
19/01/2015,2.5,4718
